county,year,season,seasonal_rainfall_mm,temp_mean_c,max_dry_spell_days,onset_week,n_stations,data_source
Bungoma,2016,Short Rains (OND),874.6,20.2,40,1,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Bungoma,2017,Long Rains (MAM),2133.0,21.4,40,3,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Bungoma,2017,Short Rains (OND),1730.3,19.5,49,2,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Bungoma,2018,Long Rains (MAM),4312.1,19.3,10,1,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Bungoma,2018,Short Rains (OND),1586.8,19.8,18,1,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Bungoma,2019,Long Rains (MAM),2134.5,21.8,39,1,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Bungoma,2019,Short Rains (OND),3246.4,19.4,20,1,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Bungoma,2020,Long Rains (MAM),4123.5,20.0,8,1,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Bungoma,2020,Short Rains (OND),2301.9,19.4,20,1,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Bungoma,2021,Long Rains (MAM),1975.7,20.4,42,5,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Bungoma,2021,Short Rains (OND),1271.4,20.3,12,1,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Bungoma,2022,Long Rains (MAM),1881.2,21.4,32,4,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Bungoma,2022,Short Rains (OND),1275.4,19.7,16,1,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Bungoma,2023,Long Rains (MAM),3804.8,20.5,23,2,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Bungoma,2023,Short Rains (OND),2046.9,20.2,28,1,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Bungoma,2024,Long Rains (MAM),2948.1,21.0,53,1,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Bungoma,2024,Short Rains (OND),2246.1,19.9,34,1,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Embu,2015,Long Rains (MAM),910.7,21.2,34,4,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Embu,2015,Short Rains (OND),955.8,20.7,8,3,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Embu,2016,Long Rains (MAM),789.2,21.6,22,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Embu,2016,Short Rains (OND),559.4,20.8,24,7,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Embu,2017,Long Rains (MAM),598.5,21.9,36,5,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Embu,2017,Short Rains (OND),696.8,20.5,24,2,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Embu,2018,Long Rains (MAM),2002.6,19.8,6,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Embu,2018,Short Rains (OND),635.7,20.3,10,5,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Embu,2019,Long Rains (MAM),333.5,22.6,36,8,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Embu,2019,Short Rains (OND),1453.1,20.3,4,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Embu,2020,Long Rains (MAM),1030.2,20.6,10,4,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Embu,2020,Short Rains (OND),742.9,20.3,12,3,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Embu,2021,Long Rains (MAM),747.6,20.9,26,3,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Embu,2021,Short Rains (OND),681.6,20.9,8,3,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Embu,2022,Long Rains (MAM),582.5,21.6,34,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Embu,2022,Short Rains (OND),585.8,20.1,40,5,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Embu,2023,Long Rains (MAM),964.9,20.9,10,3,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Embu,2023,Short Rains (OND),1207.3,20.4,10,3,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Embu,2024,Long Rains (MAM),1626.8,21.0,14,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Embu,2024,Short Rains (OND),782.3,20.9,14,3,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Isiolo,2015,Long Rains (MAM),380.8,26.8,40,4,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Isiolo,2015,Short Rains (OND),513.2,26.2,10,3,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Isiolo,2016,Long Rains (MAM),357.2,27.6,27,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Isiolo,2016,Short Rains (OND),289.9,26.1,43,7,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Isiolo,2017,Long Rains (MAM),316.8,27.5,31,7,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Isiolo,2017,Short Rains (OND),448.8,25.8,24,2,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Isiolo,2018,Long Rains (MAM),1000.8,24.9,11,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Isiolo,2018,Short Rains (OND),289.8,26.2,13,5,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Isiolo,2019,Long Rains (MAM),239.2,28.1,37,8,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Isiolo,2019,Short Rains (OND),893.0,24.8,10,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Isiolo,2020,Long Rains (MAM),498.1,26.1,13,4,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Isiolo,2020,Short Rains (OND),536.8,26.1,19,5,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Isiolo,2021,Long Rains (MAM),283.2,26.7,28,10,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Isiolo,2021,Short Rains (OND),621.5,25.8,35,9,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Isiolo,2022,Long Rains (MAM),628.5,26.3,34,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Isiolo,2022,Short Rains (OND),280.7,25.7,51,5,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Isiolo,2023,Long Rains (MAM),512.9,26.4,29,5,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Isiolo,2023,Short Rains (OND),845.5,25.1,18,3,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Isiolo,2024,Long Rains (MAM),610.4,26.5,26,5,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Isiolo,2024,Short Rains (OND),385.3,26.7,26,6,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kakamega,2015,Long Rains (MAM),1583.7,20.7,38,4,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kakamega,2015,Short Rains (OND),1698.9,19.6,6,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kakamega,2016,Long Rains (MAM),1479.5,20.6,14,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kakamega,2016,Short Rains (OND),485.7,19.6,29,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kakamega,2017,Long Rains (MAM),1308.8,20.9,8,2,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kakamega,2017,Short Rains (OND),1088.4,19.2,24,2,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kakamega,2018,Long Rains (MAM),2618.0,19.1,2,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kakamega,2018,Short Rains (OND),832.6,19.6,12,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kakamega,2019,Long Rains (MAM),1091.5,21.6,33,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kakamega,2019,Short Rains (OND),2197.5,19.2,7,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kakamega,2020,Long Rains (MAM),2283.4,19.9,4,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kakamega,2020,Short Rains (OND),1274.2,19.2,13,2,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kakamega,2021,Long Rains (MAM),1413.2,20.2,16,3,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kakamega,2021,Short Rains (OND),820.8,19.8,8,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kakamega,2022,Long Rains (MAM),1124.6,20.8,15,4,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kakamega,2022,Short Rains (OND),765.5,19.4,15,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kakamega,2023,Long Rains (MAM),2207.9,20.1,12,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kakamega,2023,Short Rains (OND),1699.0,19.9,11,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kakamega,2024,Long Rains (MAM),2007.6,20.6,25,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kakamega,2024,Short Rains (OND),1298.1,19.6,12,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kericho,2015,Long Rains (MAM),1564.9,21.1,38,4,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kericho,2015,Short Rains (OND),2097.2,20.0,6,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kericho,2016,Long Rains (MAM),1311.7,21.0,14,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kericho,2016,Short Rains (OND),562.9,20.6,28,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kericho,2017,Long Rains (MAM),1347.0,21.3,18,2,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kericho,2017,Short Rains (OND),1318.7,20.0,24,2,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kericho,2018,Long Rains (MAM),2539.3,19.1,2,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kericho,2018,Short Rains (OND),1106.4,20.2,10,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kericho,2019,Long Rains (MAM),1034.7,21.9,36,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kericho,2019,Short Rains (OND),2897.9,19.6,6,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kericho,2020,Long Rains (MAM),2279.9,20.0,4,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kericho,2020,Short Rains (OND),1552.6,19.9,8,2,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kericho,2021,Long Rains (MAM),1713.2,20.3,20,3,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kericho,2021,Short Rains (OND),1129.3,20.5,8,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kericho,2022,Long Rains (MAM),1259.4,20.8,46,4,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kericho,2022,Short Rains (OND),925.3,20.1,14,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kericho,2023,Long Rains (MAM),2449.9,20.3,12,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kericho,2023,Short Rains (OND),2367.2,20.4,6,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kericho,2024,Long Rains (MAM),2629.3,20.8,14,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kericho,2024,Short Rains (OND),1729.1,20.2,8,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kiambu,2015,Long Rains (MAM),1181.1,20.0,95,4,5,"NASA POWER (real, MEASURED-tier reanalysis)"
Kiambu,2015,Short Rains (OND),1470.2,19.7,35,5,5,"NASA POWER (real, MEASURED-tier reanalysis)"
Kiambu,2016,Long Rains (MAM),1008.7,20.5,95,1,5,"NASA POWER (real, MEASURED-tier reanalysis)"
Kiambu,2016,Short Rains (OND),1000.3,19.5,115,5,5,"NASA POWER (real, MEASURED-tier reanalysis)"
Kiambu,2017,Long Rains (MAM),873.5,20.5,80,7,5,"NASA POWER (real, MEASURED-tier reanalysis)"
Kiambu,2017,Short Rains (OND),920.0,19.6,60,2,5,"NASA POWER (real, MEASURED-tier reanalysis)"
Kiambu,2018,Long Rains (MAM),3604.0,18.0,17,1,5,"NASA POWER (real, MEASURED-tier reanalysis)"
Kiambu,2018,Short Rains (OND),1203.8,19.5,40,4,5,"NASA POWER (real, MEASURED-tier reanalysis)"
Kiambu,2019,Long Rains (MAM),490.0,21.2,105,8,5,"NASA POWER (real, MEASURED-tier reanalysis)"
Kiambu,2019,Short Rains (OND),2295.2,19.0,15,2,5,"NASA POWER (real, MEASURED-tier reanalysis)"
Kiambu,2020,Long Rains (MAM),2129.9,19.2,65,1,5,"NASA POWER (real, MEASURED-tier reanalysis)"
Kiambu,2020,Short Rains (OND),1416.0,19.4,45,4,5,"NASA POWER (real, MEASURED-tier reanalysis)"
Kiambu,2021,Long Rains (MAM),1112.2,19.8,75,3,5,"NASA POWER (real, MEASURED-tier reanalysis)"
Kiambu,2021,Short Rains (OND),1149.2,19.8,77,3,5,"NASA POWER (real, MEASURED-tier reanalysis)"
Kiambu,2022,Long Rains (MAM),488.1,20.6,86,5,5,"NASA POWER (real, MEASURED-tier reanalysis)"
Kiambu,2022,Short Rains (OND),903.6,19.3,150,5,5,"NASA POWER (real, MEASURED-tier reanalysis)"
Kiambu,2023,Long Rains (MAM),1315.5,19.7,55,4,5,"NASA POWER (real, MEASURED-tier reanalysis)"
Kiambu,2023,Short Rains (OND),1880.2,19.3,20,3,5,"NASA POWER (real, MEASURED-tier reanalysis)"
Kiambu,2024,Long Rains (MAM),2011.7,19.7,35,4,5,"NASA POWER (real, MEASURED-tier reanalysis)"
Kiambu,2024,Short Rains (OND),1261.8,20.1,55,6,5,"NASA POWER (real, MEASURED-tier reanalysis)"
Kilifi,2015,Long Rains (MAM),431.7,27.7,19,3,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Kilifi,2015,Short Rains (OND),336.6,27.5,14,1,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Kilifi,2016,Long Rains (MAM),302.0,28.2,22,6,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Kilifi,2016,Short Rains (OND),115.4,27.1,33,9,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Kilifi,2017,Long Rains (MAM),441.2,28.1,21,6,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Kilifi,2017,Short Rains (OND),247.1,27.2,20,5,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Kilifi,2018,Long Rains (MAM),629.4,27.3,5,1,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Kilifi,2018,Short Rains (OND),303.2,27.0,12,1,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Kilifi,2019,Long Rains (MAM),455.4,28.4,29,10,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Kilifi,2019,Short Rains (OND),682.4,27.0,4,1,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Kilifi,2020,Long Rains (MAM),429.3,27.8,7,4,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Kilifi,2020,Short Rains (OND),272.6,27.4,17,6,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Kilifi,2021,Long Rains (MAM),334.4,27.5,20,3,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Kilifi,2021,Short Rains (OND),203.6,27.4,23,11,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Kilifi,2022,Long Rains (MAM),227.6,28.0,27,5,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Kilifi,2022,Short Rains (OND),169.5,26.6,14,5,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Kilifi,2023,Long Rains (MAM),749.7,27.6,17,7,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Kilifi,2023,Short Rains (OND),565.0,27.4,6,1,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Kilifi,2024,Long Rains (MAM),375.6,28.2,10,3,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Kilifi,2024,Short Rains (OND),297.2,27.7,12,7,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisii,2015,Long Rains (MAM),1783.2,20.5,58,4,3,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisii,2015,Short Rains (OND),2410.1,19.7,9,1,3,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisii,2016,Long Rains (MAM),1682.0,20.2,21,1,3,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisii,2016,Short Rains (OND),632.3,20.4,43,1,3,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisii,2017,Long Rains (MAM),1398.8,20.9,25,3,3,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisii,2017,Short Rains (OND),1446.8,19.8,36,2,3,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisii,2018,Long Rains (MAM),3296.7,18.3,3,1,3,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisii,2018,Short Rains (OND),1442.1,19.7,16,1,3,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisii,2019,Long Rains (MAM),1173.7,21.5,54,1,3,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisii,2019,Short Rains (OND),3476.3,19.2,9,1,3,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisii,2020,Long Rains (MAM),2877.5,19.0,6,1,3,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisii,2020,Short Rains (OND),2319.8,19.2,12,2,3,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisii,2021,Long Rains (MAM),1963.4,19.5,30,3,3,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisii,2021,Short Rains (OND),1242.7,20.1,12,1,3,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisii,2022,Long Rains (MAM),1401.4,20.4,69,4,3,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisii,2022,Short Rains (OND),1079.0,19.9,24,1,3,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisii,2023,Long Rains (MAM),2808.1,19.7,15,1,3,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisii,2023,Short Rains (OND),2374.6,20.1,10,1,3,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisii,2024,Long Rains (MAM),3357.2,19.9,21,1,3,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisii,2024,Short Rains (OND),1757.0,19.9,12,1,3,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisumu,2015,Long Rains (MAM),1595.1,22.4,36,4,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisumu,2015,Short Rains (OND),2196.3,21.3,7,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisumu,2016,Long Rains (MAM),1267.4,22.3,14,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisumu,2016,Short Rains (OND),560.3,22.1,28,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisumu,2017,Long Rains (MAM),1458.4,22.5,8,3,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisumu,2017,Short Rains (OND),1165.4,21.5,20,2,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisumu,2018,Long Rains (MAM),2293.8,20.4,2,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisumu,2018,Short Rains (OND),1180.4,21.6,8,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisumu,2019,Long Rains (MAM),1138.3,23.0,16,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisumu,2019,Short Rains (OND),2626.6,20.8,7,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisumu,2020,Long Rains (MAM),2093.9,21.3,3,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisumu,2020,Short Rains (OND),1612.4,21.3,8,2,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisumu,2021,Long Rains (MAM),1587.3,21.7,12,3,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisumu,2021,Short Rains (OND),1131.9,22.0,8,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisumu,2022,Long Rains (MAM),1311.7,22.2,11,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisumu,2022,Short Rains (OND),991.3,21.5,11,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisumu,2023,Long Rains (MAM),2331.7,21.6,12,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisumu,2023,Short Rains (OND),2195.6,21.9,7,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisumu,2024,Long Rains (MAM),2096.4,22.3,14,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kisumu,2024,Short Rains (OND),1673.2,21.7,8,1,2,"NASA POWER (real, MEASURED-tier reanalysis)"
Kitui,2015,Long Rains (MAM),791.5,24.6,79,4,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kitui,2015,Short Rains (OND),1145.5,24.2,28,5,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kitui,2016,Long Rains (MAM),656.2,25.2,72,5,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kitui,2016,Short Rains (OND),723.4,24.1,92,5,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kitui,2017,Long Rains (MAM),611.2,25.2,67,8,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kitui,2017,Short Rains (OND),759.3,24.1,48,3,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kitui,2018,Long Rains (MAM),1987.9,22.9,15,1,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kitui,2018,Short Rains (OND),875.2,24.0,44,5,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kitui,2019,Long Rains (MAM),366.6,25.8,104,8,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kitui,2019,Short Rains (OND),2104.0,23.1,12,2,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kitui,2020,Long Rains (MAM),961.2,23.9,46,4,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kitui,2020,Short Rains (OND),1017.9,24.0,36,4,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kitui,2021,Long Rains (MAM),691.3,24.4,48,3,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kitui,2021,Short Rains (OND),1050.7,24.2,68,3,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kitui,2022,Long Rains (MAM),461.8,25.1,62,5,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kitui,2022,Short Rains (OND),824.2,23.7,120,5,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kitui,2023,Long Rains (MAM),1127.0,24.1,44,4,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kitui,2023,Short Rains (OND),1585.0,23.6,18,1,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kitui,2024,Long Rains (MAM),1045.6,24.6,25,4,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kitui,2024,Short Rains (OND),926.6,24.8,51,6,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kwale,2015,Long Rains (MAM),2150.4,27.4,60,3,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kwale,2015,Short Rains (OND),1228.4,27.4,52,1,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kwale,2016,Long Rains (MAM),1418.9,28.0,88,5,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kwale,2016,Short Rains (OND),449.0,27.3,144,9,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kwale,2017,Long Rains (MAM),2137.7,27.8,64,5,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kwale,2017,Short Rains (OND),1032.2,27.3,80,4,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kwale,2018,Long Rains (MAM),2779.6,27.0,20,1,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kwale,2018,Short Rains (OND),1157.4,26.9,44,1,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kwale,2019,Long Rains (MAM),1896.9,28.2,108,10,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kwale,2019,Short Rains (OND),2567.9,26.7,8,1,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kwale,2020,Long Rains (MAM),2121.9,27.2,20,1,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kwale,2020,Short Rains (OND),923.4,27.4,28,6,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kwale,2021,Long Rains (MAM),1452.8,27.3,64,3,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kwale,2021,Short Rains (OND),859.7,27.4,84,9,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kwale,2022,Long Rains (MAM),1027.2,27.9,88,5,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kwale,2022,Short Rains (OND),581.1,26.4,56,6,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Kwale,2023,Long Rains (MAM),3620.6,27.3,68,4,4,"NASA POWER (real, MEASURED-tier reanalysis)"
